pursuer_pos,pursuer_vel,evader_pos,evader_vel,area_pursuer,area_evader,outcome
-5.0,-2.0,-5.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,-5.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,-5.0,0.0,6.0,1.0,1.0
-5.0,-2.0,-5.0,1.0,6.0,1.0,1.0
-5.0,-2.0,-5.0,2.0,6.0,1.0,1.0
-5.0,-2.0,-4.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,-4.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,-4.0,0.0,6.0,1.0,1.0
-5.0,-2.0,-4.0,1.0,6.0,1.0,1.0
-5.0,-2.0,-4.0,2.0,6.0,1.0,1.0
-5.0,-2.0,-3.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,-3.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,-3.0,0.0,6.0,1.0,1.0
-5.0,-2.0,-3.0,1.0,6.0,1.0,1.0
-5.0,-2.0,-3.0,2.0,6.0,1.0,1.0
-5.0,-2.0,-2.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,-2.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,-2.0,0.0,6.0,1.0,1.0
-5.0,-2.0,-2.0,1.0,6.0,1.0,1.0
-5.0,-2.0,-2.0,2.0,6.0,1.0,1.0
-5.0,-2.0,-1.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,-1.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,-1.0,0.0,6.0,1.0,1.0
-5.0,-2.0,-1.0,1.0,6.0,1.0,1.0
-5.0,-2.0,-1.0,2.0,6.0,1.0,1.0
-5.0,-2.0,0.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,0.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,0.0,0.0,6.0,1.0,1.0
-5.0,-2.0,0.0,1.0,6.0,1.0,1.0
-5.0,-2.0,0.0,2.0,6.0,1.0,1.0
-5.0,-2.0,1.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,1.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,1.0,0.0,6.0,1.0,1.0
-5.0,-2.0,1.0,1.0,6.0,1.0,1.0
-5.0,-2.0,1.0,2.0,6.0,1.0,1.0
-5.0,-2.0,2.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,2.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,2.0,0.0,6.0,1.0,1.0
-5.0,-2.0,2.0,1.0,6.0,1.0,1.0
-5.0,-2.0,2.0,2.0,6.0,1.0,1.0
-5.0,-2.0,3.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,3.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,3.0,0.0,6.0,1.0,1.0
-5.0,-2.0,3.0,1.0,6.0,1.0,1.0
-5.0,-2.0,3.0,2.0,6.0,1.0,1.0
-5.0,-2.0,4.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,4.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,4.0,0.0,6.0,1.0,1.0
-5.0,-2.0,4.0,1.0,6.0,1.0,1.0
-5.0,-2.0,4.0,2.0,6.0,1.0,1.0
-5.0,-2.0,5.0,-2.0,6.0,1.0,1.0
-5.0,-2.0,5.0,-1.0,6.0,1.0,1.0
-5.0,-2.0,5.0,0.0,6.0,1.0,1.0
-5.0,-2.0,5.0,1.0,6.0,1.0,1.0
-5.0,-2.0,5.0,2.0,6.0,1.0,1.0
-5.0,-1.0,-5.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,-5.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,-5.0,0.0,6.0,1.0,1.0
-5.0,-1.0,-5.0,1.0,6.0,1.0,1.0
-5.0,-1.0,-5.0,2.0,6.0,1.0,1.0
-5.0,-1.0,-4.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,-4.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,-4.0,0.0,6.0,1.0,1.0
-5.0,-1.0,-4.0,1.0,6.0,1.0,1.0
-5.0,-1.0,-4.0,2.0,6.0,1.0,1.0
-5.0,-1.0,-3.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,-3.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,-3.0,0.0,6.0,1.0,1.0
-5.0,-1.0,-3.0,1.0,6.0,1.0,1.0
-5.0,-1.0,-3.0,2.0,6.0,1.0,1.0
-5.0,-1.0,-2.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,-2.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,-2.0,0.0,6.0,1.0,1.0
-5.0,-1.0,-2.0,1.0,6.0,1.0,1.0
-5.0,-1.0,-2.0,2.0,6.0,1.0,1.0
-5.0,-1.0,-1.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,-1.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,-1.0,0.0,6.0,1.0,1.0
-5.0,-1.0,-1.0,1.0,6.0,1.0,1.0
-5.0,-1.0,-1.0,2.0,6.0,1.0,1.0
-5.0,-1.0,0.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,0.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,0.0,0.0,6.0,1.0,1.0
-5.0,-1.0,0.0,1.0,6.0,1.0,1.0
-5.0,-1.0,0.0,2.0,6.0,1.0,1.0
-5.0,-1.0,1.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,1.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,1.0,0.0,6.0,1.0,1.0
-5.0,-1.0,1.0,1.0,6.0,1.0,1.0
-5.0,-1.0,1.0,2.0,6.0,1.0,1.0
-5.0,-1.0,2.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,2.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,2.0,0.0,6.0,1.0,1.0
-5.0,-1.0,2.0,1.0,6.0,1.0,1.0
-5.0,-1.0,2.0,2.0,6.0,1.0,1.0
-5.0,-1.0,3.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,3.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,3.0,0.0,6.0,1.0,1.0
-5.0,-1.0,3.0,1.0,6.0,1.0,1.0
-5.0,-1.0,3.0,2.0,6.0,1.0,1.0
-5.0,-1.0,4.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,4.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,4.0,0.0,6.0,1.0,1.0
-5.0,-1.0,4.0,1.0,6.0,1.0,1.0
-5.0,-1.0,4.0,2.0,6.0,1.0,1.0
-5.0,-1.0,5.0,-2.0,6.0,1.0,1.0
-5.0,-1.0,5.0,-1.0,6.0,1.0,1.0
-5.0,-1.0,5.0,0.0,6.0,1.0,1.0
-5.0,-1.0,5.0,1.0,6.0,1.0,1.0
-5.0,-1.0,5.0,2.0,6.0,1.0,1.0
-5.0,0.0,-5.0,-2.0,6.0,1.0,1.0
-5.0,0.0,-5.0,-1.0,6.0,1.0,1.0
-5.0,0.0,-5.0,0.0,6.0,1.0,1.0
-5.0,0.0,-5.0,1.0,6.0,1.0,1.0
-5.0,0.0,-5.0,2.0,6.0,1.0,1.0
-5.0,0.0,-4.0,-2.0,6.0,1.0,1.0
-5.0,0.0,-4.0,-1.0,6.0,1.0,1.0
-5.0,0.0,-4.0,0.0,6.0,1.0,1.0
-5.0,0.0,-4.0,1.0,6.0,1.0,1.0
-5.0,0.0,-4.0,2.0,6.0,1.0,1.0
-5.0,0.0,-3.0,-2.0,6.0,1.0,1.0
-5.0,0.0,-3.0,-1.0,6.0,1.0,1.0
-5.0,0.0,-3.0,0.0,6.0,1.0,1.0
-5.0,0.0,-3.0,1.0,6.0,1.0,1.0
-5.0,0.0,-3.0,2.0,6.0,1.0,1.0
-5.0,0.0,-2.0,-2.0,6.0,1.0,1.0
-5.0,0.0,-2.0,-1.0,6.0,1.0,1.0
-5.0,0.0,-2.0,0.0,6.0,1.0,1.0
-5.0,0.0,-2.0,1.0,6.0,1.0,1.0
-5.0,0.0,-2.0,2.0,6.0,1.0,1.0
-5.0,0.0,-1.0,-2.0,6.0,1.0,1.0
-5.0,0.0,-1.0,-1.0,6.0,1.0,1.0
-5.0,0.0,-1.0,0.0,6.0,1.0,1.0
-5.0,0.0,-1.0,1.0,6.0,1.0,1.0
-5.0,0.0,-1.0,2.0,6.0,1.0,1.0
-5.0,0.0,0.0,-2.0,6.0,1.0,1.0
-5.0,0.0,0.0,-1.0,6.0,1.0,1.0
-5.0,0.0,0.0,0.0,6.0,1.0,1.0
-5.0,0.0,0.0,1.0,6.0,1.0,1.0
-5.0,0.0,0.0,2.0,6.0,1.0,1.0
-5.0,0.0,1.0,-2.0,6.0,1.0,1.0
-5.0,0.0,1.0,-1.0,6.0,1.0,1.0
-5.0,0.0,1.0,0.0,6.0,1.0,1.0
-5.0,0.0,1.0,1.0,6.0,1.0,1.0
-5.0,0.0,1.0,2.0,6.0,1.0,1.0
-5.0,0.0,2.0,-2.0,6.0,1.0,1.0
-5.0,0.0,2.0,-1.0,6.0,1.0,1.0
-5.0,0.0,2.0,0.0,6.0,1.0,1.0
-5.0,0.0,2.0,1.0,6.0,1.0,1.0
-5.0,0.0,2.0,2.0,6.0,1.0,1.0
-5.0,0.0,3.0,-2.0,6.0,1.0,1.0
-5.0,0.0,3.0,-1.0,6.0,1.0,1.0
-5.0,0.0,3.0,0.0,6.0,1.0,1.0
-5.0,0.0,3.0,1.0,6.0,1.0,1.0
-5.0,0.0,3.0,2.0,6.0,1.0,1.0
-5.0,0.0,4.0,-2.0,6.0,1.0,1.0
-5.0,0.0,4.0,-1.0,6.0,1.0,1.0
-5.0,0.0,4.0,0.0,6.0,1.0,1.0
-5.0,0.0,4.0,1.0,6.0,1.0,1.0
-5.0,0.0,4.0,2.0,6.0,1.0,1.0
-5.0,0.0,5.0,-2.0,6.0,1.0,1.0
-5.0,0.0,5.0,-1.0,6.0,1.0,1.0
-5.0,0.0,5.0,0.0,6.0,1.0,1.0
-5.0,0.0,5.0,1.0,6.0,1.0,1.0
-5.0,0.0,5.0,2.0,6.0,1.0,1.0
-5.0,1.0,-5.0,-2.0,6.0,1.0,1.0
-5.0,1.0,-5.0,-1.0,6.0,1.0,1.0
-5.0,1.0,-5.0,0.0,6.0,1.0,1.0
-5.0,1.0,-5.0,1.0,6.0,1.0,1.0
-5.0,1.0,-5.0,2.0,6.0,1.0,1.0
-5.0,1.0,-4.0,-2.0,6.0,1.0,1.0
-5.0,1.0,-4.0,-1.0,6.0,1.0,1.0
-5.0,1.0,-4.0,0.0,6.0,1.0,1.0
-5.0,1.0,-4.0,1.0,6.0,1.0,1.0
-5.0,1.0,-4.0,2.0,6.0,1.0,1.0
-5.0,1.0,-3.0,-2.0,6.0,1.0,1.0
-5.0,1.0,-3.0,-1.0,6.0,1.0,1.0
-5.0,1.0,-3.0,0.0,6.0,1.0,1.0
-5.0,1.0,-3.0,1.0,6.0,1.0,1.0
-5.0,1.0,-3.0,2.0,6.0,1.0,1.0
-5.0,1.0,-2.0,-2.0,6.0,1.0,1.0
-5.0,1.0,-2.0,-1.0,6.0,1.0,1.0
-5.0,1.0,-2.0,0.0,6.0,1.0,1.0
-5.0,1.0,-2.0,1.0,6.0,1.0,1.0
-5.0,1.0,-2.0,2.0,6.0,1.0,1.0
-5.0,1.0,-1.0,-2.0,6.0,1.0,1.0
-5.0,1.0,-1.0,-1.0,6.0,1.0,1.0
-5.0,1.0,-1.0,0.0,6.0,1.0,1.0
-5.0,1.0,-1.0,1.0,6.0,1.0,1.0
-5.0,1.0,-1.0,2.0,6.0,1.0,1.0
-5.0,1.0,0.0,-2.0,6.0,1.0,1.0
-5.0,1.0,0.0,-1.0,6.0,1.0,1.0
-5.0,1.0,0.0,0.0,6.0,1.0,1.0
-5.0,1.0,0.0,1.0,6.0,1.0,1.0
-5.0,1.0,0.0,2.0,6.0,1.0,1.0
-5.0,1.0,1.0,-2.0,6.0,1.0,1.0
-5.0,1.0,1.0,-1.0,6.0,1.0,1.0
-5.0,1.0,1.0,0.0,6.0,1.0,1.0
-5.0,1.0,1.0,1.0,6.0,1.0,1.0
-5.0,1.0,1.0,2.0,6.0,1.0,1.0
-5.0,1.0,2.0,-2.0,6.0,1.0,1.0
-5.0,1.0,2.0,-1.0,6.0,1.0,1.0
-5.0,1.0,2.0,0.0,6.0,1.0,1.0
-5.0,1.0,2.0,1.0,6.0,1.0,1.0
-5.0,1.0,2.0,2.0,6.0,1.0,1.0
-5.0,1.0,3.0,-2.0,6.0,1.0,1.0
-5.0,1.0,3.0,-1.0,6.0,1.0,1.0
-5.0,1.0,3.0,0.0,6.0,1.0,1.0
-5.0,1.0,3.0,1.0,6.0,1.0,1.0
-5.0,1.0,3.0,2.0,6.0,1.0,1.0
-5.0,1.0,4.0,-2.0,6.0,1.0,1.0
-5.0,1.0,4.0,-1.0,6.0,1.0,1.0
-5.0,1.0,4.0,0.0,6.0,1.0,1.0
-5.0,1.0,4.0,1.0,6.0,1.0,1.0
-5.0,1.0,4.0,2.0,6.0,1.0,1.0
-5.0,1.0,5.0,-2.0,6.0,1.0,1.0
-5.0,1.0,5.0,-1.0,6.0,1.0,1.0
-5.0,1.0,5.0,0.0,6.0,1.0,1.0
-5.0,1.0,5.0,1.0,6.0,1.0,1.0
-5.0,1.0,5.0,2.0,6.0,1.0,1.0
-5.0,2.0,-5.0,-2.0,6.0,1.0,1.0
-5.0,2.0,-5.0,-1.0,6.0,1.0,1.0
-5.0,2.0,-5.0,0.0,6.0,1.0,1.0
-5.0,2.0,-5.0,1.0,6.0,1.0,1.0
-5.0,2.0,-5.0,2.0,6.0,1.0,1.0
-5.0,2.0,-4.0,-2.0,6.0,1.0,1.0
-5.0,2.0,-4.0,-1.0,6.0,1.0,1.0
-5.0,2.0,-4.0,0.0,6.0,1.0,1.0
-5.0,2.0,-4.0,1.0,6.0,1.0,1.0
-5.0,2.0,-4.0,2.0,6.0,1.0,1.0
-5.0,2.0,-3.0,-2.0,6.0,1.0,1.0
-5.0,2.0,-3.0,-1.0,6.0,1.0,1.0
-5.0,2.0,-3.0,0.0,6.0,1.0,1.0
-5.0,2.0,-3.0,1.0,6.0,1.0,1.0
-5.0,2.0,-3.0,2.0,6.0,1.0,1.0
-5.0,2.0,-2.0,-2.0,6.0,1.0,1.0
-5.0,2.0,-2.0,-1.0,6.0,1.0,1.0
-5.0,2.0,-2.0,0.0,6.0,1.0,1.0
-5.0,2.0,-2.0,1.0,6.0,1.0,1.0
-5.0,2.0,-2.0,2.0,6.0,1.0,1.0
-5.0,2.0,-1.0,-2.0,6.0,1.0,1.0
-5.0,2.0,-1.0,-1.0,6.0,1.0,1.0
-5.0,2.0,-1.0,0.0,6.0,1.0,1.0
-5.0,2.0,-1.0,1.0,6.0,1.0,1.0
-5.0,2.0,-1.0,2.0,6.0,1.0,1.0
-5.0,2.0,0.0,-2.0,6.0,1.0,1.0
-5.0,2.0,0.0,-1.0,6.0,1.0,1.0
-5.0,2.0,0.0,0.0,6.0,1.0,1.0
-5.0,2.0,0.0,1.0,6.0,1.0,1.0
-5.0,2.0,0.0,2.0,6.0,1.0,1.0
-5.0,2.0,1.0,-2.0,6.0,1.0,1.0
-5.0,2.0,1.0,-1.0,6.0,1.0,1.0
-5.0,2.0,1.0,0.0,6.0,1.0,1.0
-5.0,2.0,1.0,1.0,6.0,1.0,1.0
-5.0,2.0,1.0,2.0,6.0,1.0,1.0
-5.0,2.0,2.0,-2.0,6.0,1.0,1.0
-5.0,2.0,2.0,-1.0,6.0,1.0,1.0
-5.0,2.0,2.0,0.0,6.0,1.0,1.0
-5.0,2.0,2.0,1.0,6.0,1.0,1.0
-5.0,2.0,2.0,2.0,6.0,1.0,1.0
-5.0,2.0,3.0,-2.0,6.0,1.0,1.0
-5.0,2.0,3.0,-1.0,6.0,1.0,1.0
-5.0,2.0,3.0,0.0,6.0,1.0,1.0
-5.0,2.0,3.0,1.0,6.0,1.0,1.0
-5.0,2.0,3.0,2.0,6.0,1.0,1.0
-5.0,2.0,4.0,-2.0,6.0,1.0,1.0
-5.0,2.0,4.0,-1.0,6.0,1.0,1.0
-5.0,2.0,4.0,0.0,6.0,1.0,1.0
-5.0,2.0,4.0,1.0,6.0,1.0,1.0
-5.0,2.0,4.0,2.0,6.0,1.0,1.0
-5.0,2.0,5.0,-2.0,6.0,1.0,1.0
-5.0,2.0,5.0,-1.0,6.0,1.0,1.0
-5.0,2.0,5.0,0.0,6.0,1.0,1.0
-5.0,2.0,5.0,1.0,6.0,1.0,1.0
-5.0,2.0,5.0,2.0,6.0,1.0,1.0
-4.0,-2.0,-5.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,-5.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,-5.0,0.0,6.0,1.0,1.0
-4.0,-2.0,-5.0,1.0,6.0,1.0,1.0
-4.0,-2.0,-5.0,2.0,6.0,1.0,1.0
-4.0,-2.0,-4.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,-4.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,-4.0,0.0,6.0,1.0,1.0
-4.0,-2.0,-4.0,1.0,6.0,1.0,1.0
-4.0,-2.0,-4.0,2.0,6.0,1.0,1.0
-4.0,-2.0,-3.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,-3.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,-3.0,0.0,6.0,1.0,1.0
-4.0,-2.0,-3.0,1.0,6.0,1.0,1.0
-4.0,-2.0,-3.0,2.0,6.0,1.0,1.0
-4.0,-2.0,-2.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,-2.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,-2.0,0.0,6.0,1.0,1.0
-4.0,-2.0,-2.0,1.0,6.0,1.0,1.0
-4.0,-2.0,-2.0,2.0,6.0,1.0,1.0
-4.0,-2.0,-1.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,-1.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,-1.0,0.0,6.0,1.0,1.0
-4.0,-2.0,-1.0,1.0,6.0,1.0,1.0
-4.0,-2.0,-1.0,2.0,6.0,1.0,1.0
-4.0,-2.0,0.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,0.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,0.0,0.0,6.0,1.0,1.0
-4.0,-2.0,0.0,1.0,6.0,1.0,1.0
-4.0,-2.0,0.0,2.0,6.0,1.0,1.0
-4.0,-2.0,1.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,1.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,1.0,0.0,6.0,1.0,1.0
-4.0,-2.0,1.0,1.0,6.0,1.0,1.0
-4.0,-2.0,1.0,2.0,6.0,1.0,1.0
-4.0,-2.0,2.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,2.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,2.0,0.0,6.0,1.0,1.0
-4.0,-2.0,2.0,1.0,6.0,1.0,1.0
-4.0,-2.0,2.0,2.0,6.0,1.0,1.0
-4.0,-2.0,3.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,3.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,3.0,0.0,6.0,1.0,1.0
-4.0,-2.0,3.0,1.0,6.0,1.0,1.0
-4.0,-2.0,3.0,2.0,6.0,1.0,1.0
-4.0,-2.0,4.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,4.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,4.0,0.0,6.0,1.0,1.0
-4.0,-2.0,4.0,1.0,6.0,1.0,1.0
-4.0,-2.0,4.0,2.0,6.0,1.0,1.0
-4.0,-2.0,5.0,-2.0,6.0,1.0,1.0
-4.0,-2.0,5.0,-1.0,6.0,1.0,1.0
-4.0,-2.0,5.0,0.0,6.0,1.0,1.0
-4.0,-2.0,5.0,1.0,6.0,1.0,1.0
-4.0,-2.0,5.0,2.0,6.0,1.0,1.0
-4.0,-1.0,-5.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,-5.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,-5.0,0.0,6.0,1.0,1.0
-4.0,-1.0,-5.0,1.0,6.0,1.0,1.0
-4.0,-1.0,-5.0,2.0,6.0,1.0,1.0
-4.0,-1.0,-4.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,-4.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,-4.0,0.0,6.0,1.0,1.0
-4.0,-1.0,-4.0,1.0,6.0,1.0,1.0
-4.0,-1.0,-4.0,2.0,6.0,1.0,1.0
-4.0,-1.0,-3.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,-3.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,-3.0,0.0,6.0,1.0,1.0
-4.0,-1.0,-3.0,1.0,6.0,1.0,1.0
-4.0,-1.0,-3.0,2.0,6.0,1.0,1.0
-4.0,-1.0,-2.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,-2.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,-2.0,0.0,6.0,1.0,1.0
-4.0,-1.0,-2.0,1.0,6.0,1.0,1.0
-4.0,-1.0,-2.0,2.0,6.0,1.0,1.0
-4.0,-1.0,-1.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,-1.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,-1.0,0.0,6.0,1.0,1.0
-4.0,-1.0,-1.0,1.0,6.0,1.0,1.0
-4.0,-1.0,-1.0,2.0,6.0,1.0,1.0
-4.0,-1.0,0.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,0.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,0.0,0.0,6.0,1.0,1.0
-4.0,-1.0,0.0,1.0,6.0,1.0,1.0
-4.0,-1.0,0.0,2.0,6.0,1.0,1.0
-4.0,-1.0,1.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,1.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,1.0,0.0,6.0,1.0,1.0
-4.0,-1.0,1.0,1.0,6.0,1.0,1.0
-4.0,-1.0,1.0,2.0,6.0,1.0,1.0
-4.0,-1.0,2.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,2.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,2.0,0.0,6.0,1.0,1.0
-4.0,-1.0,2.0,1.0,6.0,1.0,1.0
-4.0,-1.0,2.0,2.0,6.0,1.0,1.0
-4.0,-1.0,3.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,3.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,3.0,0.0,6.0,1.0,1.0
-4.0,-1.0,3.0,1.0,6.0,1.0,1.0
-4.0,-1.0,3.0,2.0,6.0,1.0,1.0
-4.0,-1.0,4.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,4.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,4.0,0.0,6.0,1.0,1.0
-4.0,-1.0,4.0,1.0,6.0,1.0,1.0
-4.0,-1.0,4.0,2.0,6.0,1.0,1.0
-4.0,-1.0,5.0,-2.0,6.0,1.0,1.0
-4.0,-1.0,5.0,-1.0,6.0,1.0,1.0
-4.0,-1.0,5.0,0.0,6.0,1.0,1.0
-4.0,-1.0,5.0,1.0,6.0,1.0,1.0
-4.0,-1.0,5.0,2.0,6.0,1.0,1.0
-4.0,0.0,-5.0,-2.0,6.0,1.0,1.0
-4.0,0.0,-5.0,-1.0,6.0,1.0,1.0
-4.0,0.0,-5.0,0.0,6.0,1.0,1.0
-4.0,0.0,-5.0,1.0,6.0,1.0,1.0
-4.0,0.0,-5.0,2.0,6.0,1.0,1.0
-4.0,0.0,-4.0,-2.0,6.0,1.0,1.0
-4.0,0.0,-4.0,-1.0,6.0,1.0,1.0
-4.0,0.0,-4.0,0.0,6.0,1.0,1.0
-4.0,0.0,-4.0,1.0,6.0,1.0,1.0
-4.0,0.0,-4.0,2.0,6.0,1.0,1.0
-4.0,0.0,-3.0,-2.0,6.0,1.0,1.0
-4.0,0.0,-3.0,-1.0,6.0,1.0,1.0
-4.0,0.0,-3.0,0.0,6.0,1.0,1.0
-4.0,0.0,-3.0,1.0,6.0,1.0,1.0
-4.0,0.0,-3.0,2.0,6.0,1.0,1.0
-4.0,0.0,-2.0,-2.0,6.0,1.0,1.0
-4.0,0.0,-2.0,-1.0,6.0,1.0,1.0
-4.0,0.0,-2.0,0.0,6.0,1.0,1.0
-4.0,0.0,-2.0,1.0,6.0,1.0,1.0
-4.0,0.0,-2.0,2.0,6.0,1.0,1.0
-4.0,0.0,-1.0,-2.0,6.0,1.0,1.0
-4.0,0.0,-1.0,-1.0,6.0,1.0,1.0
-4.0,0.0,-1.0,0.0,6.0,1.0,1.0
-4.0,0.0,-1.0,1.0,6.0,1.0,1.0
-4.0,0.0,-1.0,2.0,6.0,1.0,1.0
-4.0,0.0,0.0,-2.0,6.0,1.0,1.0
-4.0,0.0,0.0,-1.0,6.0,1.0,1.0
-4.0,0.0,0.0,0.0,6.0,1.0,1.0
-4.0,0.0,0.0,1.0,6.0,1.0,1.0
-4.0,0.0,0.0,2.0,6.0,1.0,1.0
-4.0,0.0,1.0,-2.0,6.0,1.0,1.0
-4.0,0.0,1.0,-1.0,6.0,1.0,1.0
-4.0,0.0,1.0,0.0,6.0,1.0,1.0
-4.0,0.0,1.0,1.0,6.0,1.0,1.0
-4.0,0.0,1.0,2.0,6.0,1.0,1.0
-4.0,0.0,2.0,-2.0,6.0,1.0,1.0
-4.0,0.0,2.0,-1.0,6.0,1.0,1.0
-4.0,0.0,2.0,0.0,6.0,1.0,1.0
-4.0,0.0,2.0,1.0,6.0,1.0,1.0
-4.0,0.0,2.0,2.0,6.0,1.0,1.0
-4.0,0.0,3.0,-2.0,6.0,1.0,1.0
-4.0,0.0,3.0,-1.0,6.0,1.0,1.0
-4.0,0.0,3.0,0.0,6.0,1.0,1.0
-4.0,0.0,3.0,1.0,6.0,1.0,1.0
-4.0,0.0,3.0,2.0,6.0,1.0,1.0
-4.0,0.0,4.0,-2.0,6.0,1.0,1.0
-4.0,0.0,4.0,-1.0,6.0,1.0,1.0
-4.0,0.0,4.0,0.0,6.0,1.0,1.0
-4.0,0.0,4.0,1.0,6.0,1.0,1.0
-4.0,0.0,4.0,2.0,6.0,1.0,1.0
-4.0,0.0,5.0,-2.0,6.0,1.0,1.0
-4.0,0.0,5.0,-1.0,6.0,1.0,1.0
-4.0,0.0,5.0,0.0,6.0,1.0,1.0
-4.0,0.0,5.0,1.0,6.0,1.0,1.0
-4.0,0.0,5.0,2.0,6.0,1.0,1.0
-4.0,1.0,-5.0,-2.0,6.0,1.0,1.0
-4.0,1.0,-5.0,-1.0,6.0,1.0,1.0
-4.0,1.0,-5.0,0.0,6.0,1.0,1.0
-4.0,1.0,-5.0,1.0,6.0,1.0,1.0
-4.0,1.0,-5.0,2.0,6.0,1.0,1.0
-4.0,1.0,-4.0,-2.0,6.0,1.0,1.0
-4.0,1.0,-4.0,-1.0,6.0,1.0,1.0
-4.0,1.0,-4.0,0.0,6.0,1.0,1.0
-4.0,1.0,-4.0,1.0,6.0,1.0,1.0
-4.0,1.0,-4.0,2.0,6.0,1.0,1.0
-4.0,1.0,-3.0,-2.0,6.0,1.0,1.0
-4.0,1.0,-3.0,-1.0,6.0,1.0,1.0
-4.0,1.0,-3.0,0.0,6.0,1.0,1.0
-4.0,1.0,-3.0,1.0,6.0,1.0,1.0
-4.0,1.0,-3.0,2.0,6.0,1.0,1.0
-4.0,1.0,-2.0,-2.0,6.0,1.0,1.0
-4.0,1.0,-2.0,-1.0,6.0,1.0,1.0
-4.0,1.0,-2.0,0.0,6.0,1.0,1.0
-4.0,1.0,-2.0,1.0,6.0,1.0,1.0
